descricaolocal,zona,mes,estado_carro,exposicao_local,fabricante_celular,peridoocorrencia,sexo,descr_cor_veiculo,tipo_veiculo,tipo_crime
VIA PUBLICA,LESTE,3,SEMI-NOVO,RISCO ALTO PLUS,,A TARDE,,Cinza,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,2,SEMI-VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Azul,MOTO,Roubo Veiculo
VIA PUBLICA,SUL,4,SEMI-VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Vermelho,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,NORTE,2,NOVO,RISCO ALTO PLUS,,A TARDE,,Branco,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,NORTE,12,SEMI-NOVO,RISCO ALTO PLUS,,A TARDE,,Branco,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,OESTE,12,VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Cinza,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,5,SEMI-NOVO,RISCO ALTO PLUS,,A NOITE,,Cinza,AUTOMOVEL,Roubo Veiculo
COMERCIO E SERVICOS,NORTE,9,NOVO,RISCO ALTO,,A NOITE,,Cinza,MOTO,Roubo Veiculo
VIA PUBLICA,NORTE,12,SEMI-VELHO,RISCO ALTO PLUS,,DE MADRUGADA,,Branco,VEÍCULO PESADO,Roubo Veiculo
VIA PUBLICA,NORTE,9,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,4,SEMI-NOVO,RISCO ALTO PLUS,,A NOITE,,Marrom,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,8,SEMI-VELHO,RISCO ALTO PLUS,,PELA MANHA,,Cinza,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,8,SEMI-NOVO,RISCO ALTO PLUS,,A NOITE,,Preta,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,7,SEMI-NOVO,RISCO ALTO PLUS,,DE MADRUGADA,,Cinza,MOTO,Roubo Veiculo
VIA PUBLICA,SUL,7,SEMI-NOVO,RISCO ALTO PLUS,,A NOITE,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,NORTE,10,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Prata,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,SUL,2,SEMI-VELHO,RISCO ALTO PLUS,,A NOITE,,Prata,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,LESTE,1,SEMI-VELHO,RISCO ALTO PLUS,,A TARDE,,Azul,AUTOMOVEL,Roubo Veiculo
VIA PUBLICA,SUL,1,SEMI-NOVO,RISCO ALTO PLUS,,PELA MANHA,,Branco,MOTO,Roubo Veiculo
VIA PUBLICA,SUL,2,VELHO,RISCO ALTO PLUS,,A TARDE,,Preta,AUTOMOVEL,Roubo Veiculo
HOSPEDAGEM,NORTE,5,SEMI-NOVO,RISCO ALTO,,A NOITE,,Branco,CAMINHÃO,Roubo Veiculo
VIA PUBLICA,LESTE,4,SEMI-NOVO,RISCO ALTO PLUS,,PELA MANHA,,Branco,CAMINHÃO,Roubo Veiculo
